sat,net_bp,equity
2026-06-20 00:00:00+00:00,-36.83,0.99632
2026-06-27 00:00:00+00:00,22.19,0.99853
2026-07-04 00:00:00+00:00,-5.28,0.998
2026-07-11 00:00:00+00:00,-40.54,0.99395
2026-07-18 00:00:00+00:00,12.97,0.99524
2026-07-25 00:00:00+00:00,84.42,1.00365
2026-08-01 00:00:00+00:00,166.8,1.02039
2026-08-08 00:00:00+00:00,16.72,1.02209
2026-08-15 00:00:00+00:00,29.2,1.02508
2026-08-22 00:00:00+00:00,42.77,1.02946
2026-08-29 00:00:00+00:00,90.12,1.03874
2026-09-05 00:00:00+00:00,152.61,1.05459
2026-09-12 00:00:00+00:00,15.2,1.0562
