sat,u,entry_ts,exit_ts,entry_px,exit_px,sat_am_bp,gross_bp,fund_bp,mae_bp,mfe_bp
2026-08-22 00:00:00+00:00,SPY,2026-08-22 12:01:00+00:00,2026-08-23 21:01:00+00:00,765.49,765.9,-24.759248882575413,5.356046453905972,0.0,-8.491293158630064,19.595291904532797
2026-08-22 00:00:00+00:00,NFLX,2026-08-22 12:01:00+00:00,2026-08-23 21:01:00+00:00,79.57,79.59,-12.551776076316079,2.5135101168793916,0.0,-20.108080935025143,30.162121402539377
2026-08-22 00:00:00+00:00,META,2026-08-22 12:01:00+00:00,2026-08-23 21:01:00+00:00,550.52,555.27,-51.8621586945911,86.28206059725363,0.0,-30.698248928284766,94.27450410520954
2026-08-22 00:00:00+00:00,COIN,2026-08-22 12:01:00+00:00,2026-08-23 21:01:00+00:00,185.16,186.08,-222.83240046467424,49.68675739900785,0.0,-388.8528839922223,69.66947504860599
2026-08-22 00:00:00+00:00,HOOD,2026-08-22 12:01:00+00:00,2026-08-23 21:01:00+00:00,106.97,108.71,-156.43691911291114,162.66242871833202,0.0,-56.09049266149357,192.57735813779541
2026-08-22 00:00:00+00:00,TSLA,2026-08-22 12:01:00+00:00,2026-08-23 21:01:00+00:00,361.79,364.51,-63.71700859630347,75.1817352607853,0.0,-24.87630946129027,81.81541778379709
2026-08-22 00:00:00+00:00,AAPL,2026-08-22 12:01:00+00:00,2026-08-23 21:01:00+00:00,309.29,310.1,-27.406977494033313,26.189013547155415,0.0,-19.722590449093858,53.67131171392536
2026-08-22 00:00:00+00:00,QQQ,2026-08-22 12:01:00+00:00,2026-08-23 21:01:00+00:00,712.34,714.5,-34.55463689651661,30.322598759018327,0.0,-4.773001656512843,46.04542774517828
2026-08-29 00:00:00+00:00,META,2026-08-29 12:01:00+00:00,2026-08-30 21:01:00+00:00,578.48,581.44,-2.073971655720541,51.16857972617961,0.0,-12.792144931544902,76.75286958926719
2026-08-29 00:00:00+00:00,COIN,2026-08-29 12:01:00+00:00,2026-08-30 21:01:00+00:00,178.34,181.07,-11.76141136936426,153.0783895929111,0.0,-11.21453403611139,249.5233823034648
2026-09-05 00:00:00+00:00,META,2026-09-05 12:01:00+00:00,2026-09-06 21:01:00+00:00,613.9,614.75,-25.508960631712707,13.845903241571644,0.0,-2.2805017103755265,40.07167291089742
2026-09-05 00:00:00+00:00,COIN,2026-09-05 12:01:00+00:00,2026-09-06 21:01:00+00:00,184.75,186.19,-7.572069879386856,77.94316644113675,0.0,-4.330175913397349,132.61163734776594
2026-09-05 00:00:00+00:00,HOOD,2026-09-05 12:01:00+00:00,2026-09-06 21:01:00+00:00,121.36,126.23,-59.79195675321569,401.2854317732373,0.77,0.0,538.8925510876729
2026-09-12 00:00:00+00:00,NFLX,2026-09-12 12:01:00+00:00,2026-09-13 21:01:00+00:00,77.2,77.41,-20.682523267838704,27.202072538858868,0.0,-3.8860103626947584,55.699481865283396
2026-09-19 00:00:00+00:00,NFLX,2026-09-19 12:01:00+00:00,2026-09-20 21:01:00+00:00,72.07,72.62,-16.622800941958893,76.31469404745461,0.0,-11.100319134175196,79.08977383099813
2026-09-19 00:00:00+00:00,HOOD,2026-09-19 12:01:00+00:00,2026-09-20 21:01:00+00:00,119.84,118.88,-0.8343763037121921,-80.10680907877266,-0.4099999999999999,-238.65153538050743,56.74232309746286
2026-09-19 00:00:00+00:00,QQQ,2026-09-19 12:01:00+00:00,2026-09-20 21:01:00+00:00,721.36,721.94,-19.232099619508336,8.040368193413805,0.0,-26.47776422313397,20.65542863480152
2026-09-19 00:00:00+00:00,RDDT,2026-09-19 12:01:00+00:00,2026-09-20 21:01:00+00:00,151.87,151.56,-1.9749835418036987,-20.412194640152535,0.0,-57.9442944623687,37.53209982221506
