u,start,end,eligible,bars,missing_min,missing_pct,reason
AAPL,2026-05-31,2026-09-21,True,133309.0,612.0,0.46,ok
AMZN,2026-09-11,2026-09-17,False,,,,history 2026-09-11..2026-09-17 too short for 90d ending 09-17
ARM,2026-09-15,2026-09-17,False,,,,history 2026-09-15..2026-09-17 too short for 90d ending 09-17
ASML,2026-09-06,2026-09-17,False,,,,history 2026-09-06..2026-09-17 too short for 90d ending 09-17
BABA,2026-09-03,2026-09-17,False,,,,history 2026-09-03..2026-09-17 too short for 90d ending 09-17
COIN,2026-06-01,2026-09-21,True,133309.0,612.0,0.46,ok
GME,2026-08-28,2026-09-17,False,,,,history 2026-08-28..2026-09-17 too short for 90d ending 09-17
GOOGL,2026-05-31,2026-09-17,False,,,,history 2026-05-31..2026-09-17 too short for 90d ending 09-17
HOOD,2026-05-31,2026-09-21,True,133309.0,612.0,0.46,ok
INTC,2026-05-31,2026-09-17,False,,,,history 2026-05-31..2026-09-17 too short for 90d ending 09-17
MCD,2026-07-08,2026-09-17,False,,,,history 2026-07-08..2026-09-17 too short for 90d ending 09-17
META,2026-05-31,2026-09-21,True,133270.0,651.0,0.49,ok
MSFT,2026-08-01,2026-09-17,False,,,,history 2026-08-01..2026-09-17 too short for 90d ending 09-17
MSTR,2026-06-18,2026-09-17,False,,,,history 2026-06-18..2026-09-17 too short for 90d ending 09-17
NFLX,2026-06-01,2026-09-21,True,133291.0,630.0,0.47,ok
NVDA,2026-04-24,2026-09-17,False,,,,history 2026-04-24..2026-09-17 too short for 90d ending 09-17
ORCL,2026-08-29,2026-09-17,False,,,,history 2026-08-29..2026-09-17 too short for 90d ending 09-17
PLTR,2026-05-31,2026-09-17,False,,,,history 2026-05-31..2026-09-17 too short for 90d ending 09-17
QQQ,2026-05-31,2026-09-21,True,133309.0,612.0,0.46,ok
RDDT,2026-06-01,2026-09-21,True,133273.0,648.0,0.48,ok
SPY,2026-05-31,2026-09-21,True,133309.0,612.0,0.46,ok
TSLA,2026-05-31,2026-09-21,True,133309.0,612.0,0.46,ok
